start,end,length,capex,transformer_capex,fom,vom,lifetime,existing_capacity,max_build,unit_type
ITA,CHE,1,755,0,11.325,0,60,1,40,dc_underground_transmission
ITA,FRA,1,755,0,11.325,0,60,1.1,11,dc_underground_transmission
ITA,SVN,1,755,0,11.325,0,60,1,40,dc_underground_transmission
LTU,LVA,1,175,0,2.625,0,60,1.5,15,ac_ohl_transmission
LTU,POL,1,175,0,2.625,0,60,1,40,ac_ohl_transmission
LTU,SWE,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
LUX,BEL,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
LUX,DEU,1,175,0,2.625,0,60,2.9,29,ac_ohl_transmission
LVA,EST,1,175,0,2.625,0,60,0.95,38,ac_ohl_transmission
LVA,LTU,1,175,0,2.625,0,60,1.5,15,ac_ohl_transmission
MKD,ALB,1,516,0,7.74,0,60,0.7,28,ac_ohl_mountain_transmission
MKD,BGR,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
MKD,GRC,1,175,0,2.625,0,60,0.6,24,ac_ohl_transmission
MKD,SRB,1,175,0,2.625,0,60,1.9,19,ac_ohl_transmission
MNE,BIH,1,516,0,7.74,0,60,1.4,14,ac_ohl_mountain_transmission
MNE,SRB,1,516,0,7.74,0,60,2.9,29,ac_ohl_mountain_transmission
MNE,ALB,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
MNE,ITA,1,942,0,14.13,0,60,1.2,12,dc_subsea_transmission
NLD,BEL,1,175,0,2.625,0,60,3.5,35,ac_ohl_transmission
NLD,DEU,1,175,0,2.625,0,60,8.5,42.5,ac_ohl_transmission
NLD,DNK,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
NLD,GBR,1,942,0,14.13,0,60,1,40,dc_subsea_transmission
NLD,NOR,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
NOR,FIN,1,175,0,2.625,0,60,0.05,2,ac_ohl_transmission
NOR,SWE,1,175,0,2.625,0,60,4.098,40.98,ac_ohl_transmission
NOR,DEU,1,942,0,14.13,0,60,1.4,14,dc_subsea_transmission
NOR,DNK,1,942,0,14.13,0,60,1.7,17,dc_subsea_transmission
NOR,GBR,1,942,0,14.13,0,60,3.4,34,dc_subsea_transmission
NOR,NLD,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
POL,CZE,1,175,0,2.625,0,60,2.1,21,ac_ohl_transmission
POL,DEU,1,175,0,2.625,0,60,5.1,25.5,ac_ohl_transmission
POL,LTU,1,175,0,2.625,0,60,1,40,ac_ohl_transmission
POL,SVK,1,175,0,2.625,0,60,0.6,24,ac_ohl_transmission
POL,DNK,1,942,0,14.13,0,60,0.6,24,dc_subsea_transmission
POL,SWE,1,942,0,14.13,0,60,0.6,24,dc_subsea_transmission
PRT,ESP,1,175,0,2.625,0,60,3.55,35.5,ac_ohl_transmission
ROU,BGR,1,175,0,2.625,0,60,1.7,17,ac_ohl_transmission
ROU,HUN,1,175,0,2.625,0,60,1.4,14,ac_ohl_transmission
ROU,SRB,1,175,0,2.625,0,60,2.5,25,ac_ohl_transmission
SRB,MNE,1,516,0,7.74,0,60,2.9,29,ac_ohl_mountain_transmission
SRB,ALB,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
SRB,BGR,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
SRB,BIH,1,175,0,2.625,0,60,3.1,31,ac_ohl_transmission
SRB,HRV,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
SRB,HUN,1,175,0,2.625,0,60,0.7,28,ac_ohl_transmission
SRB,MKD,1,175,0,2.625,0,60,1.9,19,ac_ohl_transmission
SRB,ROU,1,175,0,2.625,0,60,2.5,25,ac_ohl_transmission
SVK,CZE,1,175,0,2.625,0,60,2.7,27,ac_ohl_transmission
SVK,HUN,1,175,0,2.625,0,60,5.4,27,ac_ohl_transmission
SVK,POL,1,175,0,2.625,0,60,0.6,24,ac_ohl_transmission
SVN,AUT,1,516,0,7.74,0,60,1.6,16,ac_ohl_mountain_transmission
SVN,HRV,1,175,0,2.625,0,60,3.4,34,ac_ohl_transmission
SVN,HUN,1,175,0,2.625,0,60,0.9,36,ac_ohl_transmission
SVN,ITA,1,175,0,2.625,0,60,2.6,26,ac_ohl_transmission
SVN,ITA,1,755,0,11.325,0,60,1,40,dc_underground_transmission
SWE,DNK,1,175,0,2.625,0,60,1.7,17,ac_ohl_transmission
SWE,FIN,1,175,0,2.625,0,60,3.15,31.5,ac_ohl_transmission
SWE,NOR,1,175,0,2.625,0,60,4.098,40.98,ac_ohl_transmission
SWE,DEU,1,942,0,14.13,0,60,2.6,26,dc_subsea_transmission
SWE,DNK,1,942,0,14.13,0,60,0.74,29.6,dc_subsea_transmission
SWE,FIN,1,942,0,14.13,0,60,0.8,32,dc_subsea_transmission
SWE,LTU,1,942,0,14.13,0,60,0.7,28,dc_subsea_transmission
SWE,POL,1,942,0,14.13,0,60,0.6,24,dc_subsea_transmission
