id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
68,SVN_fix,solar,721.3,20,0,25,0.07,0,0,0.001,SVN,51.3341,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
69,SWE_fix,solar,721.3,20,0,25,0.07,0,0,0.001,SWE,3508.11305,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
70,ALB_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,ALB,134.31255,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
71,AUT_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,AUT,396.53775,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
72,BEL_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,BEL,201.5866,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
73,BGR_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,BGR,1694.0475,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
74,BIH_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,BIH,275.72725,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
75,CHE_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,CHE,58.7766,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
76,CYP_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,CYP,76.8144,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
77,CZE_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,CZE,1043.27775,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
78,DEU_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,DEU,4077.3099,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
79,DNK_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,DNK,600.7147,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
80,ESP_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,ESP,8836.6956,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
81,EST_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,EST,476.66185,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
82,FIN_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,FIN,2555.40365,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
83,FRA_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,FRA,7535.20785,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
84,GBR_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,GBR,3063.74585,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
85,GRC_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,GRC,1039.0781,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
86,HRV_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,HRV,630.01755,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
87,HUN_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,HUN,2296.07475,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
