id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
57,LTU_pv,solar,691,5,0,25,0.068,0,0,0.001,LTU,1874.2558,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
58,LUX_pv,solar,691,5,0,25,0.041,0,0,0.001,LUX,52.696,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
59,LVA_pv,solar,691,5,0,25,0.07,0,0,0.001,LVA,1464.7087,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
60,MKD_pv,solar,691,5,0,25,0.075,0,0,0.001,MKD,423.1444,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
61,MNE_pv,solar,691,5,0,25,0.109,0,0,0.001,MNE,98.8364,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
62,NLD_pv,solar,691,5,0,25,0.025,0,0,0.001,NLD,566.7531,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
63,NOR_pv,solar,691,5,0,25,0.056,0,0,0.001,NOR,8183.8654,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
64,POL_pv,solar,691,5,0,25,0.052,0,0,0.001,POL,9673.8238,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
65,PRT_pv,solar,691,5,0,25,0.055,0,0,0.001,PRT,2260.4718,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
66,ROU_pv,solar,691,5,0,25,0.068,0,0,0.001,ROU,8267.4229,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
67,SRB_pv,solar,691,5,0,25,0.075,0,0,0.001,SRB,2066.7253,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
68,SVK_pv,solar,691,5,0,25,0.051,0,0,0.001,SVK,1134.1555,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
69,SVN_pv,solar,691,5,0,25,0.056,0,0,0.001,SVN,102.6682,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
70,SWE_pv,solar,691,5,0,25,0.043,0,0,0.001,SWE,7016.2261,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
71,ALB_offw,wind,2852,70,0,25,0.075,0,0,0.001,ALB,29.4906,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
72,BEL_offw,wind,2852,87,0,25,0.047,0,0,0.001,BEL,52.1531,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
73,BGR_offw,wind,2852,70,0,25,0.079,0,0,0.001,BGR,80.7861,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
74,BIH_offw,wind,2852,70,0,25,0.135,0,0,0.001,BIH,0.1575,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
75,CYP_offw,wind,2852,70,0,25,0.081,0,0,0.001,CYP,19.7669,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
76,DEU_offw,wind,2852,88,0,25,0.039,0,0,0.001,DEU,840.0521,0,0,offw_connection,wind,FALSE,"test,base,zerocarbon",FALSE,
77,DNK_offw,wind,2852,79,0,25,0.026,0,0,0.001,DNK,1250.5235,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
78,ESP_offw,wind,2852,86,0,25,0.071,0,0,0.001,ESP,372.958,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
79,EST_offw,wind,2852,86,0,25,0.064,0,0,0.001,EST,321.1257,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
80,FIN_offw,wind,2852,86,0,25,0.061,0,0,0.001,FIN,710.3683,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
81,FRA_offw,wind,2852,91,0,25,0.06,0,0,0.001,FRA,817.5954,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
82,GBR_offw,wind,2852,84,0,25,0.03,0,0,0.001,GBR,2388.9784,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
83,GRC_offw,wind,2852,86,0,25,0.082,0,0,0.001,GRC,360.5399,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
84,HRV_offw,wind,2852,70,0,25,0.078,0,0,0.001,HRV,274.677,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
85,IRL_offw,wind,2852,86,0,25,0.067,0,0,0.001,IRL,301.2631,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
86,ITA_offw,wind,2852,86,0,25,0.078,0,0,0.001,ITA,601.4324,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
87,LTU_offw,wind,2852,86,0,25,0.068,0,0,0.001,LTU,51.2741,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
