id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
74,FRA-IRL,1.0,942.0,0.0,14.13,0.0,60.0,0.05,FRA,IRL,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
75,FRA-ITA,1.0,942.0,0.0,14.13,0.0,60.0,0.05,FRA,ITA,0.0,1.8,18.0,0.0,dc_subsea_transmission,all,False,
76,FRA-ESP,1.0,755.0,0.0,11.325,0.0,60.0,0.05,FRA,ESP,0.0,4.3,43.0,0.0,dc_underground_transmission,all,False,
77,FRA-GBR,1.0,755.0,0.0,11.325,0.0,60.0,0.05,FRA,GBR,0.0,3.0,30.0,0.0,dc_underground_transmission,all,False,
78,FRA-ITA,1.0,755.0,0.0,11.325,0.0,60.0,0.05,FRA,ITA,0.0,1.1,11.0,0.0,dc_underground_transmission,all,False,
79,GBR-IRL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,GBR,IRL,0.009665981416031588,1.1,11.0,0.0,ac_ohl_transmission,all,False,
80,GBR-BEL,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,BEL,0.0,2.4,24.0,0.0,dc_subsea_transmission,all,False,
81,GBR-DEU,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,DEU,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
82,GBR-DNK,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,DNK,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
83,GBR-FRA,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,FRA,0.0,7.6,38.0,0.0,dc_subsea_transmission,all,False,
84,GBR-IRL,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,IRL,0.0,1.75,17.5,0.0,dc_subsea_transmission,all,False,
85,GBR-ISL,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,ISL,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
