Line,s_nom,bus0,bus1,length,capital_cost
38,5585.863854409629,DE0 0,DE0 1,195.7394059011224,8222.51794042871
39,5265.43,DE0 0,DE0 1,195.7394059011224,8222.51794042871
4,4379.31726185715,AT0 0,CZ0 0,336.86313572088466,14150.769305661628
40,13584.82089392422,DE0 0,DE0 12,202.14667738189638,8491.67122848188
41,5265.43,DE0 0,DE0 12,202.14667738189638,8491.67122848188
42,5362.429300233245,DE0 0,DE0 4,194.5211245930039,8171.3410204499405
43,1698.1026117405274,DE0 0,DE0 6,279.0629847788444,11722.730986589115
44,5265.43,DE0 0,DE0 7,261.79863841721374,10997.499411297667
45,8758.6345237143,DE0 1,DE0 11,206.62033283875206,8679.598192313957
46,13584.82089392422,DE0 1,DE0 2,230.85707007936347,9697.722293901625
47,9741.746562090393,DE0 1,DE0 6,214.52234232121435,9011.541647623135
48,11663.283728007307,DE0 1,DE0 8,159.25108329598243,6689.735689171282
49,6568.975892785725,DE0 10,DE0 12,287.21331345266526,12065.10570379213
5,3396.21,AT0 0,CZ0 0,336.86313572088466,14150.769305661628
50,5265.43,DE0 10,DE0 12,287.21331345266526,12065.10570379213
51,6792.41044696211,DE0 10,DE0 3,231.88966507690463,9741.099001077124
52,3396.205223481055,DE0 10,DE0 9,285.2290738859556,11981.752812429924
53,5265.43,DE0 10,DE0 9,285.2290738859556,11981.752812429924
54,3574.952866822163,DE0 10,PL0 2,287.42957799047025,12074.190430670671
55,15059.488951488362,DE0 11,DE0 5,200.30942875713222,8414.493055243822
56,3396.21,DE0 11,DE0 5,200.30942875713222,8414.493055243822
57,5265.43,DE0 11,DE0 5,200.30942875713222,8414.493055243822
58,8982.069077890685,DE0 11,DE0 8,205.4087004618256,8628.700577137202
59,10188.615670443165,DE0 11,NL0 0,194.16104126420134,8156.214829494687
6,8758.6345237143,AT0 0,DE0 4,248.47848720118458,10437.953509751662
60,8758.6345237143,DE0 12,DE0 2,198.51314340864732,8339.035645755683
61,16981.026117405276,DE0 12,DE0 3,174.90867158021203,7347.471416825219
62,3396.205223481055,DE0 12,DE0 4,337.4157855750863,14173.98472986315
63,11663.283728007305,DE0 2,DE0 5,189.76556503632918,7971.571977566017
64,3396.205223481055,DE0 2,DE0 9,304.25062776433117,12780.800236221443
65,3574.952866822163,DE0 3,PL0 2,197.53337810075803,8297.878180377458
66,4379.31726185715,DE0 4,DE0 7,181.27231831722742,7614.7921396034
67,8758.6345237143,DE0 5,DE0 9,222.59168096097096,9350.514178102307
68,3396.205223481055,DE0 5,NL0 0,152.1130332140421,6389.884238267821
69,3396.21,DE0 5,NL0 0,152.1130332140421,6389.884238267821
7,3396.21,AT0 0,DE0 4,248.47848720118458,10437.953509751662
70,7283.966466150157,DE0 6,DE0 7,182.00318043741254,7645.493810876672
71,6591.319348203363,DE0 6,FR0 3,171.8261144053164,7217.980977451043
72,4077.6806137190297,DE0 8,FR0 3,194.4105488771213,8166.6960139759785
73,1966.2240767521896,DE0 8,LU0 0,88.01838973082246,3697.430189478182
74,10188.615670443165,DE0 9,DK0 0,278.2617389402619,11689.072673118162
75,3396.21,DE0 9,DK0 0,278.2617389402619,11689.072673118162
76,3396.21,DE0 9,DK0 0,278.2617389402619,11689.072673118162
77,3574.952866822163,DK1 0,SE1 0,259.7651606307268,10912.078146714397
78,3318.00312951932,EE0 0,LV0 0,268.43616041964526,11276.324942077877
79,14791.367486476698,ES0 0,ES0 2,434.8131816400163,18265.403281013125
8,7552.087931161818,AT0 0,DE0 7,329.4657263150885,13840.02282478909
80,4066.50888601021,ES0 0,ES0 3,515.1383176226702,21639.65931619485
81,2279.0324525991286,ES0 0,ES0 4,531.8209848794895,22340.456021804002
82,7641.461752832373,ES0 0,ES0 5,433.7811604704746,18222.050678902207
83,6345.541338609339,ES0 1,ES0 3,455.93064807530476,19152.49469636295
84,29940.23025963561,ES0 1,ES0 5,378.71342303441156,15908.794148249533
85,17427.895225758042,ES0 1,PT0 0,367.6710300036705,15444.931113708606
86,3396.21,ES0 1,PT0 0,367.6710300036705,15444.931113708606
87,7015.845001138494,ES0 2,ES0 3,404.7893284911687,17004.177060259684
88,491.5560191880474,ES0 2,FR0 12,407.62383741896724,17123.247619423957
89,1787.4764334110814,ES0 2,FR0 6,288.402870949099,12115.07600900772
9,4379.31726185715,AT0 0,HU0 0,508.54783487017534,21362.809785468016
90,13495.447072253664,ES0 3,ES0 5,346.2745713894001,14546.119941744839
91,2290.2041803079483,ES0 3,FR0 12,340.05116213687404,14284.690241404505
92,19349.432391674956,ES0 4,ES0 5,437.16062025067885,18364.01324665274
93,3574.952866822163,ES0 4,PT0 0,462.1262131380496,19412.754732634065
94,14299.811467288651,FI1 0,FI1 1,477.297442352307,20050.059744459853
95,3396.21,FI1 0,FI1 1,477.297442352307,20050.059744459853
96,983.1120383760948,FI1 0,NO1 1,646.0576210820673,27139.248509732653
97,3574.952866822163,FI1 0,SE1 2,432.8191139314566,18181.63753424089
98,3396.21,FI1 0,SE1 2,432.8191139314566,18181.63753424089
99,10668.999961922393,FR0 0,FR0 11,260.3283258504895,10935.7352948579
